transaction_id,store,city,category,units_sold,unit_price,discount,date,revenue,discount_amount,net_revenue,month,day_of_week
10041,Store_A,Los Angeles,Groceries,8,370.12,0.02,2023-01-13,2960.96,59.2192,2901.7408,1,Friday
10042,Store_D,New York,Furniture,41,370.12,0.02,2023-01-28,15174.92,303.4984,14871.4216,1,Saturday
10043,Store_D,Los Angeles,Furniture,28,370.12,0.02,2023-05-11,10363.36,207.2672,10156.0928,5,Thursday
10044,Store_D,Chicago,Furniture,7,370.12,0.02,2023-06-09,2590.84,51.8168,2539.0232,6,Friday
10045,Store_A,Chicago,Clothing,47,370.12,0.02,2023-01-11,17395.64,347.9128,17047.7272,1,Wednesday
10046,Store_B,Houston,Furniture,46,370.12,0.02,2023-05-11,17025.52,340.5104,16685.0096,5,Thursday
10047,Store_D,Los Angeles,Clothing,25,370.12,0.02,2023-04-21,9253.0,185.06,9067.94,4,Friday
10048,Store_B,Chicago,Groceries,14,370.12,0.02,2023-04-30,5181.68,103.6336,5078.0464,4,Sunday
10049,Store_D,Houston,Furniture,16,370.12,0.02,2023-04-27,5921.92,118.4384,5803.4816,4,Thursday
10050,Store_A,New York,Groceries,35,370.12,0.02,2023-03-26,12954.2,259.084,12695.116,3,Sunday
10051,Store_C,Chicago,Clothing,16,370.12,0.02,2023-01-05,5921.92,118.4384,5803.4816,1,Thursday
10052,Store_A,Los Angeles,Electronics,4,370.12,0.02,2023-03-21,1480.48,29.6096,1450.8704,3,Tuesday
10053,Store_D,Chicago,Clothing,19,370.12,0.02,2023-01-08,7032.28,140.6456,6891.6344,1,Sunday
10054,Store_D,New York,Electronics,35,370.12,0.02,2023-03-05,12954.2,259.084,12695.116,3,Sunday
10055,Store_A,Chicago,Furniture,33,370.12,0.02,2023-03-22,12213.960000000001,244.27920000000003,11969.6808,3,Wednesday
10056,Store_D,New York,Furniture,22,370.12,0.02,2023-06-01,8142.64,162.8528,7979.787200000001,6,Thursday
10057,Store_D,Houston,Clothing,18,370.12,0.02,2023-05-31,6662.16,133.2432,6528.9168,5,Wednesday
10058,Store_C,Los Angeles,Groceries,44,370.12,0.02,2023-03-17,16285.28,325.7056,15959.574400000001,3,Friday
10059,Store_A,New York,Furniture,16,370.12,0.02,2023-06-10,5921.92,118.4384,5803.4816,6,Saturday
10060,Store_A,Chicago,Furniture,47,370.12,0.02,2023-01-18,17395.64,347.9128,17047.7272,1,Wednesday
10061,Store_D,Los Angeles,Clothing,11,370.12,0.02,2023-06-25,4071.32,81.4264,3989.8936000000003,6,Sunday
10062,Store_C,Chicago,Clothing,24,370.12,0.02,2023-04-01,8882.880000000001,177.65760000000003,8705.2224,4,Saturday
10063,Store_C,Houston,Groceries,43,370.12,0.02,2023-02-10,15915.16,318.3032,15596.8568,2,Friday
10064,Store_B,New York,Groceries,44,370.12,0.02,2023-06-19,16285.28,325.7056,15959.574400000001,6,Monday
10065,Store_A,Chicago,Electronics,8,370.12,0.02,2023-05-05,2960.96,59.2192,2901.7408,5,Friday
10066,Store_C,Los Angeles,Electronics,20,370.12,0.02,2023-04-13,7402.4,148.048,7254.352,4,Thursday
10067,Store_D,Los Angeles,Clothing,10,370.12,0.02,2023-03-04,3701.2,74.024,3627.176,3,Saturday
10068,Store_D,Houston,Electronics,3,370.12,0.02,2023-06-19,1110.3600000000001,22.207200000000004,1088.1528,6,Monday
10069,Store_D,Houston,Furniture,47,370.12,0.02,2023-06-09,17395.64,347.9128,17047.7272,6,Friday
10070,Store_D,Chicago,Furniture,45,370.12,0.02,2023-06-11,16655.4,333.10800000000006,16322.292000000001,6,Sunday
10071,Store_A,Chicago,Groceries,17,370.12,0.02,2023-04-07,6292.04,125.8408,6166.1992,4,Friday
10072,Store_A,Los Angeles,Clothing,46,370.12,0.02,2023-04-28,17025.52,340.5104,16685.0096,4,Friday
10073,Store_A,Los Angeles,Electronics,34,370.12,0.02,2023-01-28,12584.08,251.6816,12332.3984,1,Saturday
10074,Store_C,Houston,Electronics,33,370.12,0.02,2023-06-27,12213.960000000001,244.27920000000003,11969.6808,6,Tuesday
10075,Store_A,Houston,Electronics,33,370.12,0.02,2023-05-22,12213.960000000001,244.27920000000003,11969.6808,5,Monday
10076,Store_B,Chicago,Groceries,23,370.12,0.02,2023-02-09,8512.76,170.2552,8342.5048,2,Thursday
10077,Store_A,Chicago,Clothing,42,370.12,0.02,2023-02-21,15545.04,310.9008,15234.139200000001,2,Tuesday
10078,Store_D,New York,Furniture,3,370.12,0.02,2023-03-27,1110.3600000000001,22.207200000000004,1088.1528,3,Monday
10079,Store_D,New York,Furniture,16,370.12,0.02,2023-02-08,5921.92,118.4384,5803.4816,2,Wednesday
10080,Store_D,Los Angeles,Clothing,19,370.12,0.02,2023-03-06,7032.28,140.6456,6891.6344,3,Monday
10081,Store_B,Los Angeles,Groceries,31,370.12,0.02,2023-02-18,11473.72,229.4744,11244.2456,2,Saturday
10082,Store_B,New York,Clothing,29,370.12,0.02,2023-03-17,10733.48,214.6696,10518.8104,3,Friday
10083,Store_A,Houston,Electronics,46,370.12,0.02,2023-02-26,17025.52,340.5104,16685.0096,2,Sunday
10084,Store_A,Houston,Clothing,26,370.12,0.02,2023-03-14,9623.12,192.46240000000003,9430.6576,3,Tuesday
10085,Store_A,Chicago,Furniture,48,370.12,0.02,2023-05-14,17765.760000000002,355.31520000000006,17410.4448,5,Sunday
10086,Store_D,Chicago,Furniture,1,370.12,0.02,2023-05-14,370.12,7.4024,362.7176,5,Sunday
10087,Store_D,Houston,Clothing,21,370.12,0.02,2023-01-05,7772.52,155.4504,7617.069600000001,1,Thursday
10088,Store_C,Houston,Groceries,41,370.12,0.02,2023-04-05,15174.92,303.4984,14871.4216,4,Wednesday
10089,Store_D,Los Angeles,Electronics,30,370.12,0.02,2023-05-26,11103.6,222.072,10881.528,5,Friday
10090,Store_C,New York,Clothing,23,370.12,0.02,2023-04-21,8512.76,170.2552,8342.5048,4,Friday
10091,Store_C,Los Angeles,Furniture,30,370.12,0.02,2023-01-24,11103.6,222.072,10881.528,1,Tuesday
10092,Store_D,New York,Electronics,31,370.12,0.02,2023-05-17,11473.72,229.4744,11244.2456,5,Wednesday
10093,Store_A,Houston,Electronics,22,370.12,0.02,2023-05-23,8142.64,162.8528,7979.787200000001,5,Tuesday
10094,Store_D,New York,Furniture,48,370.12,0.02,2023-04-29,17765.760000000002,355.31520000000006,17410.4448,4,Saturday
10095,Store_A,Houston,Clothing,49,370.12,0.02,2023-03-13,18135.88,362.7176,17773.1624,3,Monday
10096,Store_D,Chicago,Clothing,28,370.12,0.02,2023-04-07,10363.36,207.2672,10156.0928,4,Friday
10097,Store_A,New York,Furniture,42,370.12,0.02,2023-02-02,15545.04,310.9008,15234.139200000001,2,Thursday
10098,Store_C,New York,Furniture,2,370.12,0.02,2023-02-08,740.24,14.8048,725.4352,2,Wednesday
10099,Store_C,Los Angeles,Electronics,35,370.12,0.02,2023-01-17,12954.2,259.084,12695.116,1,Tuesday
10100,Store_C,Los Angeles,Clothing,10,370.12,0.02,2023-05-15,3701.2,74.024,3627.176,5,Monday
10101,Store_D,Los Angeles,Furniture,42,370.12,0.02,2023-05-27,15545.04,310.9008,15234.139200000001,5,Saturday
10102,Store_D,Chicago,Furniture,31,370.12,0.02,2023-06-20,11473.72,229.4744,11244.2456,6,Tuesday
10103,Store_C,Houston,Electronics,44,370.12,0.02,2023-04-05,16285.28,325.7056,15959.574400000001,4,Wednesday
10104,Store_D,New York,Groceries,36,370.12,0.02,2023-01-10,13324.32,266.4864,13057.8336,1,Tuesday
10105,Store_C,New York,Electronics,42,370.12,0.02,2023-04-19,15545.04,310.9008,15234.139200000001,4,Wednesday
10106,Store_B,Chicago,Clothing,19,370.12,0.02,2023-03-18,7032.28,140.6456,6891.6344,3,Saturday
10107,Store_C,Los Angeles,Electronics,5,370.12,0.02,2023-06-05,1850.6,37.012,1813.588,6,Monday
10108,Store_B,Chicago,Furniture,2,370.12,0.02,2023-06-27,740.24,14.8048,725.4352,6,Tuesday
10109,Store_B,New York,Electronics,41,370.12,0.02,2023-04-22,15174.92,303.4984,14871.4216,4,Saturday
10110,Store_B,Houston,Groceries,10,370.12,0.02,2023-04-25,3701.2,74.024,3627.176,4,Tuesday
10111,Store_C,Houston,Clothing,16,370.12,0.02,2023-02-19,5921.92,118.4384,5803.4816,2,Sunday
10112,Store_C,Houston,Clothing,20,370.12,0.02,2023-02-07,7402.4,148.048,7254.352,2,Tuesday
10113,Store_C,Houston,Groceries,49,370.12,0.02,2023-04-16,18135.88,362.7176,17773.1624,4,Sunday
10114,Store_D,Los Angeles,Clothing,24,370.12,0.02,2023-01-21,8882.880000000001,177.65760000000003,8705.2224,1,Saturday
10115,Store_A,Los Angeles,Furniture,4,370.12,0.02,2023-05-24,1480.48,29.6096,1450.8704,5,Wednesday
10116,Store_D,Houston,Groceries,45,370.12,0.02,2023-03-05,16655.4,333.10800000000006,16322.292000000001,3,Sunday
10117,Store_D,New York,Electronics,13,370.12,0.02,2023-04-07,4811.56,96.23120000000002,4715.3288,4,Friday
10118,Store_C,New York,Clothing,47,370.12,0.02,2023-02-04,17395.64,347.9128,17047.7272,2,Saturday
10119,Store_B,Houston,Electronics,28,370.12,0.02,2023-01-20,10363.36,207.2672,10156.0928,1,Friday
10120,Store_C,Houston,Clothing,34,370.12,0.02,2023-03-28,12584.08,251.6816,12332.3984,3,Tuesday
10121,Store_D,Houston,Groceries,15,370.12,0.02,2023-04-21,5551.8,111.036,5440.764,4,Friday
10122,Store_A,Los Angeles,Clothing,7,370.12,0.02,2023-06-18,2590.84,51.8168,2539.0232,6,Sunday
10123,Store_D,Houston,Electronics,47,370.12,0.02,2023-06-07,17395.64,347.9128,17047.7272,6,Wednesday
10124,Store_D,Houston,Furniture,14,370.12,0.02,2023-06-14,5181.68,103.6336,5078.0464,6,Wednesday
10125,Store_A,Chicago,Groceries,7,370.12,0.02,2023-05-09,2590.84,51.8168,2539.0232,5,Tuesday
10126,Store_D,Los Angeles,Groceries,39,370.12,0.02,2023-02-05,14434.68,288.6936,14145.9864,2,Sunday
10127,Store_C,Chicago,Electronics,20,370.12,0.02,2023-06-09,7402.4,148.048,7254.352,6,Friday
10128,Store_C,New York,Groceries,43,370.12,0.02,2023-06-19,15915.16,318.3032,15596.8568,6,Monday
10129,Store_B,Houston,Electronics,21,370.12,0.02,2023-06-22,7772.52,155.4504,7617.069600000001,6,Thursday
10130,Store_B,Chicago,Clothing,15,370.12,0.02,2023-05-27,5551.8,111.036,5440.764,5,Saturday
10131,Store_A,Houston,Furniture,22,370.12,0.02,2023-04-17,8142.64,162.8528,7979.787200000001,4,Monday
10132,Store_B,New York,Groceries,26,370.12,0.02,2023-03-04,9623.12,192.46240000000003,9430.6576,3,Saturday
10133,Store_A,Chicago,Clothing,23,370.12,0.02,2023-02-11,8512.76,170.2552,8342.5048,2,Saturday
10134,Store_D,New York,Electronics,25,370.12,0.02,2023-03-16,9253.0,185.06,9067.94,3,Thursday
10135,Store_C,Los Angeles,Groceries,24,370.12,0.02,2023-06-01,8882.880000000001,177.65760000000003,8705.2224,6,Thursday
10136,Store_A,Los Angeles,Clothing,19,370.12,0.02,2023-01-27,7032.28,140.6456,6891.6344,1,Friday
10137,Store_D,Houston,Furniture,46,370.12,0.02,2023-02-06,17025.52,340.5104,16685.0096,2,Monday
10138,Store_D,Houston,Groceries,48,370.12,0.02,2023-05-26,17765.760000000002,355.31520000000006,17410.4448,5,Friday
10139,Store_B,Houston,Furniture,10,370.12,0.02,2023-03-10,3701.2,74.024,3627.176,3,Friday
10140,Store_C,New York,Electronics,17,370.12,0.02,2023-06-28,6292.04,125.8408,6166.1992,6,Wednesday
10141,Store_D,Houston,Groceries,43,370.12,0.02,2023-02-21,15915.16,318.3032,15596.8568,2,Tuesday
10142,Store_B,Los Angeles,Groceries,3,370.12,0.02,2023-05-09,1110.3600000000001,22.207200000000004,1088.1528,5,Tuesday
10143,Store_A,Los Angeles,Clothing,24,370.12,0.02,2023-05-12,8882.880000000001,177.65760000000003,8705.2224,5,Friday
10144,Store_A,Houston,Electronics,1,370.12,0.02,2023-03-08,370.12,7.4024,362.7176,3,Wednesday
10145,Store_D,Los Angeles,Groceries,6,370.12,0.02,2023-04-05,2220.7200000000003,44.41440000000001,2176.3056,4,Wednesday
10146,Store_D,Houston,Furniture,26,370.12,0.02,2023-06-08,9623.12,192.46240000000003,9430.6576,6,Thursday
10147,Store_D,Chicago,Furniture,18,370.12,0.02,2023-05-25,6662.16,133.2432,6528.9168,5,Thursday
10148,Store_C,Los Angeles,Clothing,26,370.12,0.02,2023-02-03,9623.12,192.46240000000003,9430.6576,2,Friday
10149,Store_D,Chicago,Furniture,29,370.12,0.02,2023-04-27,10733.48,214.6696,10518.8104,4,Thursday
10150,Store_C,New York,Clothing,2,370.12,0.02,2023-02-08,740.24,14.8048,725.4352,2,Wednesday
10151,Store_B,Los Angeles,Electronics,45,370.12,0.02,2023-05-21,16655.4,333.10800000000006,16322.292000000001,5,Sunday
10152,Store_B,New York,Electronics,26,370.12,0.02,2023-01-26,9623.12,192.46240000000003,9430.6576,1,Thursday
10153,Store_C,Houston,Furniture,25,370.12,0.02,2023-04-04,9253.0,185.06,9067.94,4,Tuesday
10154,Store_D,Chicago,Electronics,38,370.12,0.02,2023-01-08,14064.56,281.2912,13783.2688,1,Sunday
10155,Store_C,Chicago,Electronics,44,370.12,0.02,2023-06-05,16285.28,325.7056,15959.574400000001,6,Monday
10156,Store_A,New York,Electronics,8,370.12,0.02,2023-01-18,2960.96,59.2192,2901.7408,1,Wednesday
10157,Store_B,Houston,Furniture,41,370.12,0.02,2023-04-19,15174.92,303.4984,14871.4216,4,Wednesday
10158,Store_C,Chicago,Clothing,45,370.12,0.02,2023-05-22,16655.4,333.10800000000006,16322.292000000001,5,Monday
10159,Store_B,New York,Furniture,18,370.12,0.02,2023-04-30,6662.16,133.2432,6528.9168,4,Sunday
10160,Store_C,Los Angeles,Furniture,46,370.12,0.02,2023-03-31,17025.52,340.5104,16685.0096,3,Friday
10161,Store_B,Los Angeles,Furniture,40,370.12,0.02,2023-01-23,14804.8,296.096,14508.704,1,Monday
10162,Store_C,Los Angeles,Groceries,45,370.12,0.02,2023-06-25,16655.4,333.10800000000006,16322.292000000001,6,Sunday
10163,Store_B,Chicago,Groceries,42,370.12,0.02,2023-04-28,15545.04,310.9008,15234.139200000001,4,Friday
10164,Store_B,Houston,Clothing,1,370.12,0.02,2023-01-11,370.12,7.4024,362.7176,1,Wednesday
10165,Store_D,Houston,Electronics,45,370.12,0.02,2023-04-15,16655.4,333.10800000000006,16322.292000000001,4,Saturday
10166,Store_D,Houston,Electronics,2,370.12,0.02,2023-04-07,740.24,14.8048,725.4352,4,Friday
10167,Store_C,Houston,Groceries,45,370.12,0.02,2023-02-12,16655.4,333.10800000000006,16322.292000000001,2,Sunday
10168,Store_D,New York,Electronics,44,370.12,0.02,2023-06-20,16285.28,325.7056,15959.574400000001,6,Tuesday
10169,Store_C,Houston,Electronics,10,370.12,0.02,2023-04-25,3701.2,74.024,3627.176,4,Tuesday
10170,Store_A,New York,Clothing,21,370.12,0.02,2023-06-13,7772.52,155.4504,7617.069600000001,6,Tuesday
10171,Store_D,Chicago,Electronics,41,370.12,0.02,2023-02-16,15174.92,303.4984,14871.4216,2,Thursday
10172,Store_A,New York,Groceries,36,370.12,0.02,2023-01-28,13324.32,266.4864,13057.8336,1,Saturday
10173,Store_D,New York,Clothing,2,370.12,0.02,2023-01-24,740.24,14.8048,725.4352,1,Tuesday
10174,Store_D,New York,Electronics,8,370.12,0.02,2023-05-06,2960.96,59.2192,2901.7408,5,Saturday
10175,Store_B,Los Angeles,Clothing,32,370.12,0.02,2023-04-01,11843.84,236.8768,11606.9632,4,Saturday
10176,Store_B,New York,Furniture,42,370.12,0.02,2023-02-04,15545.04,310.9008,15234.139200000001,2,Saturday
10177,Store_C,New York,Furniture,30,370.12,0.02,2023-02-19,11103.6,222.072,10881.528,2,Sunday
10178,Store_B,Chicago,Groceries,24,370.12,0.02,2023-06-06,8882.880000000001,177.65760000000003,8705.2224,6,Tuesday
10179,Store_D,Chicago,Clothing,49,370.12,0.02,2023-01-18,18135.88,362.7176,17773.1624,1,Wednesday
10180,Store_C,Chicago,Clothing,19,370.12,0.02,2023-06-10,7032.28,140.6456,6891.6344,6,Saturday
10181,Store_B,Los Angeles,Furniture,15,370.12,0.02,2023-03-10,5551.8,111.036,5440.764,3,Friday
10182,Store_C,Chicago,Electronics,7,370.12,0.02,2023-01-18,2590.84,51.8168,2539.0232,1,Wednesday
10183,Store_D,Los Angeles,Furniture,8,370.12,0.02,2023-04-01,2960.96,59.2192,2901.7408,4,Saturday
10184,Store_A,New York,Furniture,19,370.12,0.02,2023-01-15,7032.28,140.6456,6891.6344,1,Sunday
10185,Store_D,Chicago,Furniture,13,370.12,0.02,2023-05-19,4811.56,96.23120000000002,4715.3288,5,Friday
10186,Store_C,Los Angeles,Groceries,49,370.12,0.02,2023-03-30,18135.88,362.7176,17773.1624,3,Thursday
10187,Store_D,New York,Groceries,43,370.12,0.02,2023-03-24,15915.16,318.3032,15596.8568,3,Friday
10188,Store_B,New York,Electronics,2,370.12,0.02,2023-01-16,740.24,14.8048,725.4352,1,Monday
10189,Store_D,Los Angeles,Furniture,31,370.12,0.02,2023-01-27,11473.72,229.4744,11244.2456,1,Friday
10190,Store_A,Chicago,Groceries,31,370.12,0.02,2023-05-12,11473.72,229.4744,11244.2456,5,Friday
10191,Store_B,Houston,Electronics,46,370.12,0.02,2023-01-18,17025.52,340.5104,16685.0096,1,Wednesday
10192,Store_B,Los Angeles,Groceries,41,370.12,0.02,2023-05-29,15174.92,303.4984,14871.4216,5,Monday
10193,Store_D,Chicago,Groceries,31,370.12,0.02,2023-01-04,11473.72,229.4744,11244.2456,1,Wednesday
10194,Store_B,Houston,Furniture,4,370.12,0.02,2023-06-05,1480.48,29.6096,1450.8704,6,Monday
10195,Store_A,Los Angeles,Furniture,18,370.12,0.02,2023-06-27,6662.16,133.2432,6528.9168,6,Tuesday
10196,Store_A,Los Angeles,Electronics,9,370.12,0.02,2023-05-25,3331.08,66.6216,3264.4584,5,Thursday
10197,Store_A,New York,Clothing,30,370.12,0.02,2023-03-15,11103.6,222.072,10881.528,3,Wednesday
10198,Store_A,New York,Furniture,13,370.12,0.02,2023-04-01,4811.56,96.23120000000002,4715.3288,4,Saturday
10199,Store_A,New York,Clothing,36,370.12,0.02,2023-04-14,13324.32,266.4864,13057.8336,4,Friday
10200,Store_D,New York,Furniture,41,370.12,0.02,2023-05-06,15174.92,303.4984,14871.4216,5,Saturday
10201,Store_C,Chicago,Groceries,33,370.12,0.02,2023-02-01,12213.960000000001,244.27920000000003,11969.6808,2,Wednesday
10202,Store_B,New York,Furniture,48,370.12,0.02,2023-05-10,17765.760000000002,355.31520000000006,17410.4448,5,Wednesday
10203,Store_A,Houston,Clothing,33,370.12,0.02,2023-03-23,12213.960000000001,244.27920000000003,11969.6808,3,Thursday
10204,Store_B,Houston,Groceries,37,370.12,0.02,2023-05-31,13694.44,273.8888,13420.5512,5,Wednesday
10205,Store_D,Chicago,Furniture,26,370.12,0.02,2023-01-24,9623.12,192.46240000000003,9430.6576,1,Tuesday
10206,Store_A,New York,Clothing,29,370.12,0.02,2023-05-06,10733.48,214.6696,10518.8104,5,Saturday
10207,Store_D,New York,Clothing,20,370.12,0.02,2023-06-29,7402.4,148.048,7254.352,6,Thursday
10208,Store_B,Los Angeles,Furniture,11,370.12,0.02,2023-03-28,4071.32,81.4264,3989.8936000000003,3,Tuesday
10209,Store_B,New York,Furniture,28,370.12,0.02,2023-03-29,10363.36,207.2672,10156.0928,3,Wednesday
10210,Store_A,Chicago,Furniture,48,370.12,0.02,2023-01-27,17765.760000000002,355.31520000000006,17410.4448,1,Friday
10211,Store_A,New York,Clothing,35,370.12,0.02,2023-06-20,12954.2,259.084,12695.116,6,Tuesday
10212,Store_C,Chicago,Groceries,22,370.12,0.02,2023-06-17,8142.64,162.8528,7979.787200000001,6,Saturday
10213,Store_C,Houston,Clothing,25,370.12,0.02,2023-03-04,9253.0,185.06,9067.94,3,Saturday
10214,Store_B,New York,Furniture,35,370.12,0.02,2023-03-06,12954.2,259.084,12695.116,3,Monday
10215,Store_B,Los Angeles,Furniture,32,370.12,0.02,2023-05-19,11843.84,236.8768,11606.9632,5,Friday
10216,Store_A,Houston,Furniture,17,370.12,0.02,2023-05-11,6292.04,125.8408,6166.1992,5,Thursday
10217,Store_D,Chicago,Clothing,31,370.12,0.02,2023-01-30,11473.72,229.4744,11244.2456,1,Monday
10218,Store_D,Chicago,Furniture,12,370.12,0.02,2023-04-20,4441.4400000000005,88.82880000000002,4352.6112,4,Thursday
10219,Store_B,Chicago,Groceries,36,370.12,0.02,2023-05-11,13324.32,266.4864,13057.8336,5,Thursday
10220,Store_D,Chicago,Electronics,28,370.12,0.02,2023-01-27,10363.36,207.2672,10156.0928,1,Friday
10221,Store_A,Chicago,Groceries,43,370.12,0.02,2023-04-30,15915.16,318.3032,15596.8568,4,Sunday
10222,Store_A,Chicago,Clothing,16,370.12,0.02,2023-04-11,5921.92,118.4384,5803.4816,4,Tuesday
10223,Store_A,Los Angeles,Clothing,5,370.12,0.02,2023-04-24,1850.6,37.012,1813.588,4,Monday
10224,Store_B,Los Angeles,Furniture,45,370.12,0.02,2023-01-11,16655.4,333.10800000000006,16322.292000000001,1,Wednesday
10225,Store_C,New York,Electronics,32,370.12,0.02,2023-06-28,11843.84,236.8768,11606.9632,6,Wednesday
10226,Store_D,Chicago,Furniture,34,370.12,0.02,2023-05-07,12584.08,251.6816,12332.3984,5,Sunday
10227,Store_C,New York,Furniture,23,370.12,0.02,2023-03-28,8512.76,170.2552,8342.5048,3,Tuesday
10228,Store_A,Chicago,Groceries,33,370.12,0.02,2023-04-15,12213.960000000001,244.27920000000003,11969.6808,4,Saturday
10229,Store_B,Los Angeles,Electronics,48,370.12,0.02,2023-03-25,17765.760000000002,355.31520000000006,17410.4448,3,Saturday
10230,Store_D,Houston,Clothing,4,370.12,0.02,2023-05-30,1480.48,29.6096,1450.8704,5,Tuesday
10231,Store_C,Chicago,Groceries,23,370.12,0.02,2023-03-03,8512.76,170.2552,8342.5048,3,Friday
10232,Store_A,Chicago,Electronics,2,370.12,0.02,2023-01-21,740.24,14.8048,725.4352,1,Saturday
10233,Store_A,Houston,Groceries,24,370.12,0.02,2023-04-09,8882.880000000001,177.65760000000003,8705.2224,4,Sunday
10234,Store_C,New York,Clothing,17,370.12,0.02,2023-01-03,6292.04,125.8408,6166.1992,1,Tuesday
10235,Store_D,Los Angeles,Clothing,32,370.12,0.02,2023-05-25,11843.84,236.8768,11606.9632,5,Thursday
10236,Store_A,Los Angeles,Clothing,49,370.12,0.02,2023-02-25,18135.88,362.7176,17773.1624,2,Saturday
10237,Store_C,New York,Groceries,47,370.12,0.02,2023-04-21,17395.64,347.9128,17047.7272,4,Friday
